date,dailyconfirmed,totalconfirmed,dailyrecovered,totalrecovered,dailydeath,totaldeath ,Lastupdatedtime
30 January,1,1,0,0,0,0,30-Mar-2020 02:24:00 A.M.
31 January,0,1,0,0,0,0,30-Mar-2020 02:24:00 A.M.
01 February,0,1,0,0,0,0,30-Mar-2020 02:24:00 A.M.
02 February,1,2,0,0,0,0,30-Mar-2020 02:24:00 A.M.
03 February,1,3,0,0,0,0,30-Mar-2020 02:24:00 A.M.
04 February,0,3,0,0,0,0,30-Mar-2020 02:24:00 A.M.
05 February,0,3,0,0,0,0,30-Mar-2020 02:24:00 A.M.
06 February,0,3,0,0,0,0,30-Mar-2020 02:24:00 A.M.
07 February,0,3,0,0,0,0,30-Mar-2020 02:24:00 A.M.
08 February,0,3,0,0,0,0,30-Mar-2020 02:24:00 A.M.
09 February,0,3,0,0,0,0,30-Mar-2020 02:24:00 A.M.
10 February,0,3,0,0,0,0,30-Mar-2020 02:24:00 A.M.
11 February,0,3,0,0,0,0,30-Mar-2020 02:24:00 A.M.
12 February,0,3,0,0,0,0,30-Mar-2020 02:24:00 A.M.
13 February,0,3,1,1,0,0,30-Mar-2020 02:24:00 A.M.
14 February,0,3,0,1,0,0,30-Mar-2020 02:24:00 A.M.
15 February,0,3,0,1,0,0,30-Mar-2020 02:24:00 A.M.
16 February,0,3,1,2,0,0,30-Mar-2020 02:24:00 A.M.
17 February,0,3,0,2,0,0,30-Mar-2020 02:24:00 A.M.
18 February,0,3,0,2,0,0,30-Mar-2020 02:24:00 A.M.
19 February,0,3,0,2,0,0,30-Mar-2020 02:24:00 A.M.
20 February,0,3,1,3,0,0,30-Mar-2020 02:24:00 A.M.
21 February,0,3,0,3,0,0,30-Mar-2020 02:24:00 A.M.
22 February,0,3,0,3,0,0,30-Mar-2020 02:24:00 A.M.
23 February,0,3,0,3,0,0,30-Mar-2020 02:24:00 A.M.
24 February,0,3,0,3,0,0,30-Mar-2020 02:24:00 A.M.
25 February,0,3,0,3,0,0,30-Mar-2020 02:24:00 A.M.
26 February,0,3,0,3,0,0,30-Mar-2020 02:24:00 A.M.
27 February,0,3,0,3,0,0,30-Mar-2020 02:24:00 A.M.
28 February,0,3,0,3,0,0,30-Mar-2020 02:24:00 A.M.
29 February,0,3,0,3,0,0,30-Mar-2020 02:24:00 A.M.
01 March,0,3,0,3,0,0,30-Mar-2020 02:24:00 A.M.
02 March,2,5,0,3,0,0,30-Mar-2020 02:24:00 A.M.
03 March,1,6,0,3,0,0,30-Mar-2020 02:24:00 A.M.
04 March,22,28,0,3,0,0,30-Mar-2020 02:24:00 A.M.
05 March,2,30,0,3,0,0,30-Mar-2020 02:24:00 A.M.
06 March,1,31,0,3,0,0,30-Mar-2020 02:24:00 A.M.
07 March,3,34,0,3,0,0,30-Mar-2020 02:24:00 A.M.
08 March,5,39,0,3,0,0,30-Mar-2020 02:24:00 A.M.
09 March,9,48,0,3,0,0,30-Mar-2020 02:24:00 A.M.
10 March,15,63,1,4,0,0,30-Mar-2020 02:24:00 A.M.
11 March,7,70,0,4,0,0,30-Mar-2020 02:24:00 A.M.
12 March,12,82,0,4,1,1,30-Mar-2020 02:24:00 A.M.
13 March,9,91,6,10,0,1,30-Mar-2020 02:24:00 A.M.
14 March,16,107,0,10,1,2,30-Mar-2020 02:24:00 A.M.
15 March,6,113,3,13,0,2,30-Mar-2020 02:24:00 A.M.
16 March,14,127,1,14,0,2,30-Mar-2020 02:24:00 A.M.
17 March,19,146,1,15,1,3,30-Mar-2020 02:24:00 A.M.
18 March,25,171,0,15,0,3,30-Mar-2020 02:24:00 A.M.
19 March,28,199,5,20,1,4,30-Mar-2020 02:24:00 A.M.
20 March,59,258,3,23,0,4,30-Mar-2020 02:24:00 A.M.
21 March,76,334,0,23,0,4,30-Mar-2020 02:24:00 A.M.
22 March,69,403,0,23,3,7,30-Mar-2020 02:24:00 A.M.
23 March,102,505,2,25,2,9,30-Mar-2020 02:24:00 A.M.
24 March,66,571,15,40,1,10,30-Mar-2020 02:24:00 A.M.
25 March,86,657,3,43,1,11,30-Mar-2020 02:24:00 A.M.
26 March,78,735,7,50,5,16,30-Mar-2020 02:24:00 A.M.
27 March,151,886,25,75,3,19,30-Mar-2020 02:24:00 A.M.
28 March,138,1024,10,85,5,24,30-Mar-2020 02:24:00 A.M.
29 March,115,1139,11,96,3,27,30-Mar-2020 02:24:00 A.M.
