state,totalconfirmed,totalrecovered,totaldeath,lastupdatedtime,,
Andaman and Nicobar Islands,9,0,0,29/3/20 19:30:00,,
Andhra Pradesh,19,1,0,29/3/20 19:30:00,,
Arunachal Pradesh,0,0,0,29/3/20 19:30:00,,
Assam,0,0,0,29/3/20 19:30:00,,
Bihar,11,0,1,29/3/20 19:30:00,,
Chandigarh,8,0,0,29/3/20 19:30:00,,
Chhattisgarh,7,0,0,29/3/20 19:30:00,,
Dadra and Nagar Haveli,0,0,0,29/3/20 19:30:00,,
Daman and Diu,0,0,0,29/3/20 19:30:00,,
Delhi,49,6,1,29/3/20 19:30:00,,
Goa,3,0,0,29/3/20 19:30:00,,
Gujarat,55,0,4,29/3/20 19:30:00,,
Haryana,35,11,0,29/3/20 19:30:00,,
Himachal Pradesh,3,2,1,29/3/20 19:30:00,,
Jammu and Kashmir,33,1,1,29/3/20 19:30:00,,
Jharkhand,0,0,0,29/3/20 19:30:00,,
Karnataka,81,5,3,29/3/20 19:30:00,,
Kerala,182,12,1,29/3/20 19:30:00,,
Ladakh,13,3,0,29/3/20 19:30:00,,
Lakshadweep,0,0,0,29/3/20 19:30:00,,
Madhya Pradesh,39,0,2,29/3/20 19:30:00,,
Maharashtra,186,25,6,29/3/20 19:30:00,,
Manipur,1,0,0,29/3/20 19:30:00,,
Meghalaya,0,0,0,29/3/20 19:30:00,,
Mizoram,1,0,0,29/3/20 19:30:00,,
Nagaland,0,0,0,29/3/20 19:30:00,,
Odisha,3,0,0,29/3/20 19:30:00,,
Puducherry,1,0,0,29/3/20 19:30:00,,
Punjab,38,1,1,29/3/20 19:30:00,,
Rajasthan,54,3,0,29/3/20 19:30:00,,
Sikkim,0,0,0,29/3/20 19:30:00,,
Tamil Nadu,42,2,1,29/3/20 19:30:00,,
Telangana,67,1,1,29/3/20 19:30:00,,
Total,1029,85,24,29/3/20 19:30:00,,
Tripura,0,0,0,29/3/20 19:30:00,,
Uttar Pradesh,65,11,0,29/3/20 19:30:00,,
Uttarakhand,6,1,0,29/3/20 19:30:00,,
West Bengal,18,0,1,29/3/20 19:30:00,,
